semua: smeua smua seuma 
kelas: klas kela kleas 
gabung: gaung gabun gbung 
alternatif: alterntif alternati alternatfif 
sekarang: sekrang skarang sekaran 
digital: disgital digita digitla
segar: seger sega sgar 
untuk: untu untku utnuk 
tuliskan: tliskan tulikan tsuliskan 
karena: kerana karna karen
peristiwa: pristiwa peristiwoa poeristiw 
prajurit: perajurit pirarti prjaurit 
masalah: maslaah maslaha malsahs 
sekolah: skeolah sekloah sekola 
berarti: berarit bearti beariti 
ujian: uijan yjian ujiajn 
protokol: proktokol proltokol ptorotokol 
jalan: alaan jlaan jalana 
air: ari aur ait
banjir: banhir banjor baijr
bantuan: bantun banutan bantuen 
tetapi: teapi ttpi tapi 
mudah: mdh mudh maduh 
tolong: tulung tulong toolong 
hujan: hajun hin hujuan 
api: ipi aopi iap
kalung: kalang kaung kalng 
neraka: narka naraka nrka 
mereka: mrka maraka mreka 
rekayasa: reksaya rekyaas kerayasa 
halo: halp hallo hao 
mereka: nereka mrk mrka 
tidak: todak tok tydak 
sesuatu: sesuatau sesuwatu swt 
gila: gils gilak gil 
lomba: limba loba loma 
korek: kirek krk korex 
hanya: hny hnya hannya 
minum: munim mnm minom 
jawab: jwab jwb jawav 
satu: stu sau atu 
dua: dwa duwa wa 
tiga: ga tga tigga 
empat: mpat enpat empst 
lima: lina loma lims 
enam: nam enem rnam 
tujuh: tuju rujuh tumuh 
delapan: dlapan lapan delsoan 
sembilan: smbilan srmbolan senblan 
sepuluh: spuluh seouluh sepukuh 
bagi: bg bgii bag 
sudah: sdh sudh sdah 
yang: yg yng ygn 
saya: sy sya aya 
dan: dsn and dna 
akan: akna akn anka 
saudara: saidsra sadara sdr 
lihat: liat lhat liay 
tanya: tanyak tsnya tny 
jadwal: jadual jdwal jsdwal
kamu: kmu kaumu akmu
dia: da daia ida
kami: kai kaimi akmi
kalian: kalan kailian aklian
aku: ak auku kua
menjadi: menjdi menjaidi emnjadi 
sekelompok: seklompok sekeolompok eskelompok 
orang: orng oraang roang 
sukses: skses suekses uskses 
kaya: kya kaaya akya
aktual: akhtual aktuel aktuall 
takhta: takta tekhta tahta
benteng: bentteng bentegn penteng 
adil: adol aidl addil
daring: draring darink darring 
analisis: analosis annalisis analizis 
sengit: senghit snengit senget 
integrasi: integrassi integrais itnegrasi
izin: izni izzin ezin
praktik: phraktik parktik praktki
